Date,Event_Description
1990-08-02,"Iraq invades Kuwait; Gulf War begins, causing oil price spike"
1991-01-17,Operation Desert Storm begins; oil prices decline
1997-11-21,"OPEC increases production quota, contributing to price crash"
1998-02-24,Asian Financial Crisis deepens; oil prices drop to ~$10
1999-03-23,OPEC production cuts lead to price recovery
2002-12-17,"Venezuelan oil strike begins, reducing exports"
2003-03-20,US-led invasion of Iraq begins
2005-08-29,Hurricane Katrina disrupts Gulf Coast oil infrastructure
2008-07-11,Oil prices peak at $147/barrel before financial crisis
2008-09-15,Lehman Brothers collapses; oil prices plummet
2011-02-22,"Libyan civil war begins, interrupting supply"
2014-11-27,"OPEC decides not to cut production, triggering price slide"
2016-11-30,OPEC+ agrees to first production cuts in 8 years
2018-05-08,US withdraws from Iran nuclear deal; announces sanctions on Iran oil exports
2018-05-08,US withdraws from Iran nuclear deal; announces sanctions on Iran oil exports
2018-06-22,OPEC and non-OPEC agree to increase production by 1 million barrels per day
2018-06-22,OPEC and non-OPEC agree to increase production by 1 million barrels per day
2018-08-07,"US re-imposes sanctions on Iran, affecting global oil supply"
2018-08-07,"US re-imposes sanctions on Iran, affecting global oil supply"
2018-10-02,Saudi Arabia announces production increase to meet demand
2018-10-02,Saudi Arabia announces production increase to meet demand
2018-11-05,US sanctions on Iran take full effect with waivers for 8 countries
2018-11-05,US sanctions on Iran take full effect with waivers for 8 countries
2019-09-14,Drone attacks on Saudi Aramco oil facilities; production halved
2019-09-14,Drone attacks on Saudi Aramco oil facilities; production halved
2020-01-03,US airstrike kills Iranian General Soleimani; oil prices spike
2020-01-03,US airstrike kills Iranian General Soleimani; oil prices spike
2020-01-08,Iran retaliates with missile strikes on US bases in Iraq
2020-01-08,Iran retaliates with missile strikes on US bases in Iraq
2020-03-06,OPEC+ talks fail; Saudi Arabia starts price war
2020-03-09,OPEC+ price war begins; oil prices crash 30% in one day
2020-03-09,OPEC+ price war begins; oil prices crash 30% in one day
2020-04-20,WTI crude oil futures turn negative for first time in history
2020-04-20,WTI crude turns negative for first time in history
2020-04-20,WTI crude oil futures turn negative for first time in history
2020-05-01,OPEC+ agrees to record 9.7 million bpd production cuts
2020-05-01,OPEC+ agrees to record 9.7 million bpd production cuts
2021-01-05,OPEC+ meeting ends with agreement to maintain production cuts
2021-01-05,OPEC+ meeting ends with agreement to maintain production cuts
2021-03-04,"OPEC+ extends production cuts, supporting price recovery"
2021-03-04,"OPEC+ maintains production cuts, supporting price recovery"
2021-03-04,"OPEC+ extends production cuts, supporting price recovery"
2022-02-24,Russia invades Ukraine; prices surge
2022-02-24,Russia invades Ukraine; oil prices surge past $100/barrel
2022-02-24,Russia invades Ukraine; oil prices surge past $100/barrel
2022-03-08,US announces ban on Russian oil imports
2022-03-08,US announces ban on Russian oil imports
2022-06-02,EU agrees to partial ban on Russian oil imports
2022-06-02,EU agrees to partial ban on Russian oil imports
